"nom_mun","edad","pob_tot","pob_h","pob_m"
"México","Total",16992418,8251295,8741123
"México","3 Años",273092,137450,135642
"México","4 Años",279161,140960,138201
"México","5 Años",282358,143010,139348
"México","6 Años",265854,134268,131586
"México","7 Años",273393,138301,135092
"México","8 Años",289607,148372,141235
"México","9 Años",269920,135622,134298
"México","10 Años",305581,156125,149456
"México","11 Años",278245,141429,136816
"México","12 Años",301998,152833,149165
"México","13 Años",288284,145151,143133
"México","14 Años",290441,144838,145603
"México","15 Años",299577,151715,147862
"México","16 Años",283418,143020,140398
"México","17 Años",304197,154420,149777
"México","18 Años",317272,162144,155128
"México","19 Años",272201,136232,135969
"México","20 Años",317540,158609,158931
"México","21 Años",258728,130219,128509
"México","22 Años",292258,146258,146000
"México","23 Años",272601,135512,137089
"México","24 Años",274032,134860,139172
"Acambay de Ruíz Castañeda","Total",67872,32617,35255
"Acambay de Ruíz Castañeda","3 Años",1314,665,649
"Acambay de Ruíz Castañeda","4 Años",1330,647,683
"Acambay de Ruíz Castañeda","5 Años",1341,659,682
"Acambay de Ruíz Castañeda","6 Años",1336,638,698
"Acambay de Ruíz Castañeda","7 Años",1311,697,614
"Acambay de Ruíz Castañeda","8 Años",1412,740,672
"Acambay de Ruíz Castañeda","9 Años",1338,654,684
"Acambay de Ruíz Castañeda","10 Años",1445,705,740
"Acambay de Ruíz Castañeda","11 Años",1399,679,720
"Acambay de Ruíz Castañeda","12 Años",1413,729,684
"Acambay de Ruíz Castañeda","13 Años",1383,712,671
"Acambay de Ruíz Castañeda","14 Años",1380,699,681
"Acambay de Ruíz Castañeda","15 Años",1379,710,669
"Acambay de Ruíz Castañeda","16 Años",1367,667,700
"Acambay de Ruíz Castañeda","17 Años",1415,701,714
"Acambay de Ruíz Castañeda","18 Años",1274,605,669
"Acambay de Ruíz Castañeda","19 Años",1191,581,610
"Acambay de Ruíz Castañeda","20 Años",1267,637,630
"Acambay de Ruíz Castañeda","21 Años",1060,471,589
"Acambay de Ruíz Castañeda","22 Años",1119,531,588
"Acambay de Ruíz Castañeda","23 Años",1092,503,589
"Acambay de Ruíz Castañeda","24 Años",1149,521,628
"Acolman","Total",171507,86228,85279
"Acolman","3 Años",2492,1261,1231
"Acolman","4 Años",2484,1238,1246
"Acolman","5 Años",2563,1335,1228
"Acolman","6 Años",2564,1252,1312
"Acolman","7 Años",2746,1399,1347
"Acolman","8 Años",2992,1534,1458
"Acolman","9 Años",2805,1409,1396
"Acolman","10 Años",3143,1606,1537
"Acolman","11 Años",2847,1428,1419
"Acolman","12 Años",3220,1621,1599
"Acolman","13 Años",2985,1491,1494
"Acolman","14 Años",3073,1531,1542
"Acolman","15 Años",3139,1595,1544
"Acolman","16 Años",3147,1576,1571
"Acolman","17 Años",3339,1698,1641
"Acolman","18 Años",3372,1749,1623
"Acolman","19 Años",2913,1470,1443
"Acolman","20 Años",3419,1760,1659
"Acolman","21 Años",2788,1493,1295
"Acolman","22 Años",3093,1649,1444
"Acolman","23 Años",2826,1499,1327
"Acolman","24 Años",2908,1517,1391
"Aculco","Total",49266,24089,25177
"Aculco","3 Años",973,499,474
"Aculco","4 Años",918,459,459
"Aculco","5 Años",916,472,444
"Aculco","6 Años",894,434,460
"Aculco","7 Años",942,484,458
"Aculco","8 Años",982,499,483
"Aculco","9 Años",962,487,475
"Aculco","10 Años",976,507,469
"Aculco","11 Años",941,474,467
"Aculco","12 Años",994,509,485
"Aculco","13 Años",959,492,467
"Aculco","14 Años",982,498,484
"Aculco","15 Años",973,475,498
"Aculco","16 Años",943,466,477
"Aculco","17 Años",1034,536,498
"Aculco","18 Años",934,471,463
"Aculco","19 Años",788,369,419
"Aculco","20 Años",960,479,481
"Aculco","21 Años",786,404,382
"Aculco","22 Años",890,445,445
"Aculco","23 Años",777,374,403
"Aculco","24 Años",804,394,410
"Almoloya de Alquisiras","Total",15333,7281,8052
"Almoloya de Alquisiras","3 Años",280,137,143
"Almoloya de Alquisiras","4 Años",279,156,123
"Almoloya de Alquisiras","5 Años",291,140,151
"Almoloya de Alquisiras","6 Años",306,152,154
"Almoloya de Alquisiras","7 Años",299,151,148
"Almoloya de Alquisiras","8 Años",309,156,153
"Almoloya de Alquisiras","9 Años",302,166,136
"Almoloya de Alquisiras","10 Años",300,145,155
"Almoloya de Alquisiras","11 Años",292,147,145
"Almoloya de Alquisiras","12 Años",303,156,147
"Almoloya de Alquisiras","13 Años",327,176,151
"Almoloya de Alquisiras","14 Años",308,158,150
"Almoloya de Alquisiras","15 Años",310,184,126
"Almoloya de Alquisiras","16 Años",306,153,153
"Almoloya de Alquisiras","17 Años",327,156,171
"Almoloya de Alquisiras","18 Años",297,136,161
"Almoloya de Alquisiras","19 Años",263,117,146
"Almoloya de Alquisiras","20 Años",283,124,159
"Almoloya de Alquisiras","21 Años",219,102,117
"Almoloya de Alquisiras","22 Años",257,120,137
"Almoloya de Alquisiras","23 Años",244,115,129
"Almoloya de Alquisiras","24 Años",300,144,156
"Almoloya de Juárez","Total",174587,87130,87457
"Almoloya de Juárez","3 Años",3347,1688,1659
"Almoloya de Juárez","4 Años",3278,1584,1694
"Almoloya de Juárez","5 Años",3228,1644,1584
"Almoloya de Juárez","6 Años",3193,1586,1607
"Almoloya de Juárez","7 Años",3221,1610,1611
"Almoloya de Juárez","8 Años",3528,1940,1588
"Almoloya de Juárez","9 Años",3209,1606,1603
"Almoloya de Juárez","10 Años",3715,1841,1874
"Almoloya de Juárez","11 Años",3241,1659,1582
"Almoloya de Juárez","12 Años",3550,1814,1736
"Almoloya de Juárez","13 Años",3309,1632,1677
"Almoloya de Juárez","14 Años",3285,1659,1626
"Almoloya de Juárez","15 Años",3240,1669,1571
"Almoloya de Juárez","16 Años",3206,1557,1649
"Almoloya de Juárez","17 Años",3504,1769,1735
"Almoloya de Juárez","18 Años",3244,1650,1594
"Almoloya de Juárez","19 Años",2899,1489,1410
"Almoloya de Juárez","20 Años",3331,1655,1676
"Almoloya de Juárez","21 Años",2679,1349,1330
"Almoloya de Juárez","22 Años",2929,1468,1461
"Almoloya de Juárez","23 Años",2845,1478,1367
"Almoloya de Juárez","24 Años",2885,1420,1465
"Almoloya del Río","Total",12694,6150,6544
"Almoloya del Río","3 Años",232,118,114
"Almoloya del Río","4 Años",228,100,128
"Almoloya del Río","5 Años",232,109,123
"Almoloya del Río","6 Años",236,123,113
"Almoloya del Río","7 Años",226,119,107
"Almoloya del Río","8 Años",236,110,126
"Almoloya del Río","9 Años",237,124,113
"Almoloya del Río","10 Años",277,131,146
"Almoloya del Río","11 Años",214,115,99
"Almoloya del Río","12 Años",259,141,118
