"nom_mun","edad","pob_tot","pob_h","pob_m","CVEGEO"
"México","Total",16992418,8251295,8741123,"15"
"México","3 Años",273092,137450,135642,"15"
"México","4 Años",279161,140960,138201,"15"
"México","5 Años",282358,143010,139348,"15"
"México","6 Años",265854,134268,131586,"15"
"México","7 Años",273393,138301,135092,"15"
"México","8 Años",289607,148372,141235,"15"
"México","9 Años",269920,135622,134298,"15"
"México","10 Años",305581,156125,149456,"15"
"México","11 Años",278245,141429,136816,"15"
"México","12 Años",301998,152833,149165,"15"
"México","13 Años",288284,145151,143133,"15"
"México","14 Años",290441,144838,145603,"15"
"México","15 Años",299577,151715,147862,"15"
"México","16 Años",283418,143020,140398,"15"
"México","17 Años",304197,154420,149777,"15"
"México","18 Años",317272,162144,155128,"15"
"México","19 Años",272201,136232,135969,"15"
"México","20 Años",317540,158609,158931,"15"
"México","21 Años",258728,130219,128509,"15"
"México","22 Años",292258,146258,146000,"15"
"México","23 Años",272601,135512,137089,"15"
"México","24 Años",274032,134860,139172,"15"
"Acambay de Ruíz Castañeda","Total",67872,32617,35255,"15 001"
"Acambay de Ruíz Castañeda","3 Años",1314,665,649,"15 001"
"Acambay de Ruíz Castañeda","4 Años",1330,647,683,"15 001"
"Acambay de Ruíz Castañeda","5 Años",1341,659,682,"15 001"
"Acambay de Ruíz Castañeda","6 Años",1336,638,698,"15 001"
"Acambay de Ruíz Castañeda","7 Años",1311,697,614,"15 001"
"Acambay de Ruíz Castañeda","8 Años",1412,740,672,"15 001"
"Acambay de Ruíz Castañeda","9 Años",1338,654,684,"15 001"
"Acambay de Ruíz Castañeda","10 Años",1445,705,740,"15 001"
"Acambay de Ruíz Castañeda","11 Años",1399,679,720,"15 001"
"Acambay de Ruíz Castañeda","12 Años",1413,729,684,"15 001"
"Acambay de Ruíz Castañeda","13 Años",1383,712,671,"15 001"
"Acambay de Ruíz Castañeda","14 Años",1380,699,681,"15 001"
"Acambay de Ruíz Castañeda","15 Años",1379,710,669,"15 001"
"Acambay de Ruíz Castañeda","16 Años",1367,667,700,"15 001"
"Acambay de Ruíz Castañeda","17 Años",1415,701,714,"15 001"
"Acambay de Ruíz Castañeda","18 Años",1274,605,669,"15 001"
"Acambay de Ruíz Castañeda","19 Años",1191,581,610,"15 001"
"Acambay de Ruíz Castañeda","20 Años",1267,637,630,"15 001"
"Acambay de Ruíz Castañeda","21 Años",1060,471,589,"15 001"
"Acambay de Ruíz Castañeda","22 Años",1119,531,588,"15 001"
"Acambay de Ruíz Castañeda","23 Años",1092,503,589,"15 001"
"Acambay de Ruíz Castañeda","24 Años",1149,521,628,"15 001"
"Acolman","Total",171507,86228,85279,"15 002"
"Acolman","3 Años",2492,1261,1231,"15 002"
"Acolman","4 Años",2484,1238,1246,"15 002"
"Acolman","5 Años",2563,1335,1228,"15 002"
"Acolman","6 Años",2564,1252,1312,"15 002"
"Acolman","7 Años",2746,1399,1347,"15 002"
"Acolman","8 Años",2992,1534,1458,"15 002"
"Acolman","9 Años",2805,1409,1396,"15 002"
"Acolman","10 Años",3143,1606,1537,"15 002"
"Acolman","11 Años",2847,1428,1419,"15 002"
"Acolman","12 Años",3220,1621,1599,"15 002"
"Acolman","13 Años",2985,1491,1494,"15 002"
"Acolman","14 Años",3073,1531,1542,"15 002"
"Acolman","15 Años",3139,1595,1544,"15 002"
"Acolman","16 Años",3147,1576,1571,"15 002"
"Acolman","17 Años",3339,1698,1641,"15 002"
"Acolman","18 Años",3372,1749,1623,"15 002"
"Acolman","19 Años",2913,1470,1443,"15 002"
"Acolman","20 Años",3419,1760,1659,"15 002"
"Acolman","21 Años",2788,1493,1295,"15 002"
"Acolman","22 Años",3093,1649,1444,"15 002"
"Acolman","23 Años",2826,1499,1327,"15 002"
"Acolman","24 Años",2908,1517,1391,"15 002"
"Aculco","Total",49266,24089,25177,"15 003"
"Aculco","3 Años",973,499,474,"15 003"
"Aculco","4 Años",918,459,459,"15 003"
"Aculco","5 Años",916,472,444,"15 003"
"Aculco","6 Años",894,434,460,"15 003"
"Aculco","7 Años",942,484,458,"15 003"
"Aculco","8 Años",982,499,483,"15 003"
"Aculco","9 Años",962,487,475,"15 003"
"Aculco","10 Años",976,507,469,"15 003"
"Aculco","11 Años",941,474,467,"15 003"
"Aculco","12 Años",994,509,485,"15 003"
"Aculco","13 Años",959,492,467,"15 003"
"Aculco","14 Años",982,498,484,"15 003"
"Aculco","15 Años",973,475,498,"15 003"
"Aculco","16 Años",943,466,477,"15 003"
"Aculco","17 Años",1034,536,498,"15 003"
"Aculco","18 Años",934,471,463,"15 003"
"Aculco","19 Años",788,369,419,"15 003"
"Aculco","20 Años",960,479,481,"15 003"
"Aculco","21 Años",786,404,382,"15 003"
"Aculco","22 Años",890,445,445,"15 003"
"Aculco","23 Años",777,374,403,"15 003"
